Date,Clicks,Impressions,Avg. CPC,Cost
"Sun, Jan 29, 2023",16,"3,068",$0.68,$10.95
"Mon, Jan 30, 2023",9,"1,740",$1.66,$14.90
"Tue, Jan 31, 2023",14,"2,062",$1.79,$25.00
"Wed, Feb 1, 2023",13,"2,849",$1.94,$25.28
"Thu, Feb 2, 2023",11,646,$2.33,$25.66
"Fri, Feb 3, 2023",14,"2,980",$0.72,$10.04
"Sat, Feb 4, 2023",15,"3,193",$1.56,$23.46
"Sun, Feb 5, 2023",15,"1,998",$1.16,$17.46
"Mon, Feb 6, 2023",13,522,$2.30,$29.89
"Tue, Feb 7, 2023",14,"1,485",$1.68,$23.47
"Wed, Feb 8, 2023",11,"1,778",$1.41,$15.50
"Thu, Feb 9, 2023",13,"1,700",$1.13,$14.75
"Fri, Feb 10, 2023",9,412,$4.16,$37.45
"Sat, Feb 11, 2023",14,"1,226",$1.84,$25.79
"Sun, Feb 12, 2023",20,"2,501",$1.06,$21.25
"Mon, Feb 13, 2023",10,986,$2.64,$26.40
"Tue, Feb 14, 2023",8,324,$3.66,$29.28
"Wed, Feb 15, 2023",2,404,$10.76,$21.52
"Thu, Feb 16, 2023",9,890,$1.37,$12.35
"Fri, Feb 17, 2023",12,"1,720",$0.92,$11.01
"Sat, Feb 18, 2023",4,359,$3.51,$14.06
"Sun, Feb 19, 2023",10,834,$1.12,$11.20
"Mon, Feb 20, 2023",11,632,$1.71,$18.78
"Tue, Feb 21, 2023",13,609,$1.14,$14.85
"Wed, Feb 22, 2023",16,791,$1.28,$20.44
"Thu, Feb 23, 2023",15,"1,280",$1.64,$24.64
"Fri, Feb 24, 2023",9,673,$4.44,$39.95
"Sat, Feb 25, 2023",16,"1,700",$1.42,$22.67
"Sun, Feb 26, 2023",16,471,$1.67,$26.73
"Mon, Feb 27, 2023",11,"2,290",$1.67,$18.35
