Search Keyword,Match type,Criterion Status,Campaign Status,Ad Group Status,Cost,Clicks,Avg. CPC
video services,Broad match,Enabled,Enabled,Enabled,$32.89,4,$8.22
video production,Broad match,Enabled,Enabled,Enabled,$20.52,3,$6.84
video shooting company,Broad match,Enabled,Enabled,Enabled,$6.15,1,$6.15
film and video production company,Broad match,Enabled,Enabled,Enabled,$42.55,7,$6.08
video editor kansas city,Broad match,Enabled,Enabled,Enabled,$22.21,4,$5.55
video production companies kansas city mo,Broad match,Enabled,Enabled,Enabled,$27.39,5,$5.48
production company services,Broad match,Enabled,Enabled,Enabled,$5.29,1,$5.29
videography companies near me,Broad match,Enabled,Enabled,Enabled,$4.96,1,$4.96
Kansas City Drone footage,Broad match,Enabled,Enabled,Enabled,$4.59,1,$4.59
video services near me,Broad match,Enabled,Enabled,Enabled,$21.19,5,$4.24
video production company,Broad match,Enabled,Enabled,Enabled,$11.76,3,$3.92
media production companies,Broad match,Enabled,Enabled,Enabled,$3.77,1,$3.77
kc video production,Broad match,Enabled,Enabled,Enabled,$3.41,1,$3.41
video editing company,Broad match,Enabled,Enabled,Enabled,$3.00,1,$3.00
video production kansas city,Broad match,Enabled,Enabled,Enabled,$8.90,3,$2.97
video and production,Broad match,Removed,Enabled,Enabled,$5.64,2,$2.82
media film production,Broad match,Enabled,Enabled,Enabled,$5.44,2,$2.72
video production companies,Broad match,Enabled,Enabled,Enabled,$26.81,10,$2.68
event video production,Broad match,Enabled,Enabled,Enabled,$2.66,1,$2.66
video production in kansas city,Broad match,Removed,Enabled,Enabled,$10.15,4,$2.54
video production companies in kansas city,Broad match,Enabled,Enabled,Enabled,$2.28,1,$2.28
video editing services,Broad match,Enabled,Enabled,Enabled,$2.10,1,$2.10
post production services,Broad match,Enabled,Enabled,Enabled,$1.84,1,$1.84
videography agency,Broad match,Enabled,Enabled,Enabled,$1.25,1,$1.25
webcast streaming,Broad match,Enabled,Enabled,Enabled,$2.20,3,$0.73
live streaming production,Broad match,Enabled,Enabled,Enabled,$2.99,5,$0.60
video videographer,Broad match,Enabled,Enabled,Enabled,$0.57,1,$0.57
video production video,Broad match,Removed,Enabled,Enabled,$0.28,1,$0.28
kc video production companies,Broad match,Enabled,Enabled,Enabled,$0.00,0,$0.00
video production services,Broad match,Enabled,Enabled,Enabled,$0.00,0,$0.00
video filming,Broad match,Enabled,Enabled,Enabled,$0.00,0,$0.00
post production,Broad match,Enabled,Enabled,Enabled,$0.00,0,$0.00
studio video,Broad match,Enabled,Enabled,Enabled,$0.00,0,$0.00
video productions,Broad match,Enabled,Enabled,Enabled,$0.00,0,$0.00
film and video production,Broad match,Enabled,Enabled,Enabled,$0.00,0,$0.00
production agencies,Broad match,Enabled,Enabled,Enabled,$0.00,0,$0.00
professional videographer,Broad match,Enabled,Enabled,Enabled,$0.00,0,$0.00
audio video services,Broad match,Enabled,Enabled,Enabled,$0.00,0,$0.00
business video production,Broad match,Enabled,Enabled,Enabled,$0.00,0,$0.00
promo videos,Broad match,Removed,Enabled,Enabled,$0.00,0,$0.00
product video production,Broad match,Enabled,Enabled,Enabled,$0.00,0,$0.00
video production agency,Broad match,Enabled,Enabled,Enabled,$0.00,0,$0.00
dreamworks production,Broad match,Enabled,Enabled,Enabled,$0.00,0,$0.00
media video production,Broad match,Enabled,Enabled,Enabled,$0.00,0,$0.00
full video production,Broad match,Enabled,Enabled,Enabled,$0.00,0,$0.00
content production agency,Broad match,Enabled,Enabled,Enabled,$0.00,0,$0.00
event videographer,Broad match,Enabled,Enabled,Enabled,$0.00,0,$0.00
audio video production services,Broad match,Enabled,Enabled,Enabled,$0.00,0,$0.00
video production company services,Broad match,Enabled,Enabled,Enabled,$0.00,0,$0.00
videographer kansas city,Broad match,Enabled,Enabled,Enabled,$0.00,0,$0.00
